0X20	0XF020	# SPACE
0X21	0XF021	# EXCLAMATION MARK
0X22	0XF022	# LATIN SMALL LETTER L WITH MIDDLE TILDE
0X23	0XF023	# NUMBER SIGN
0X24	0XF024	# DOLLAR SIGN
0X25	0XF025	# PERCENT SIGN
0X26	0XF026	# AMPERSAND
0X27	0XF027	# MODIFIER LETTER ACUTE ACCENT
0X28	0XF028	# LEFT PARENTHESIS
0X29	0XF029	# RIGHT PARENTHESIS
0X2A	0XF02A	# ASTERISK
0X2B	0XF02B	# PLUS SIGN
0X2C	0XF02C	# COMMA
0X2D	0XF02D	# HYPHEN-MINUS
0X2E	0XF02E	# FULL STOP
0X2F	0XF02F	# SOLIDUS
0X30	0XF030	# DIGIT ZERO
0X31	0XF031	# DIGIT ONE
0X32	0XF032	# DIGIT TWO
0X33	0XF033	# DIGIT THREE
0X34	0XF034	# DIGIT FOUR
0X35	0XF035	# DIGIT FIVE
0X36	0XF036	# DIGIT SIX
0X37	0XF037	# DIGIT SEVEN
0X38	0XF038	# DIGIT EIGHT
0X39	0XF039	# DIGIT NINE
0X3A	0XF03A	# COLON
0X3B	0XF03B	# SEMICOLON
0X3C	0XF03C	# LESS-THAN SIGN
0X3D	0XF03D	# EQUALS SIGN
0X3E	0XF03E	# GREATER-THAN SIGN
0X3F	0XF03F	# QUESTION MARK
0X40	0XF040	# COMMERCIAL AT
0X41	0XF041	# LATIN CAPITAL LETTER A
0X42	0XF042	# LATIN CAPITAL LETTER B
0X43	0XF043	# LATIN CAPITAL LETTER C
0X44	0XF044	# LATIN CAPITAL LETTER D
0X45	0XF045	# LATIN CAPITAL LETTER E
0X46	0XF046	# LATIN CAPITAL LETTER F
0X47	0XF047	# LATIN CAPITAL LETTER G
0X48	0XF048	# LATIN CAPITAL LETTER H
0X49	0XF049	# LATIN CAPITAL LETTER I
0X4A	0XF04A	# LATIN CAPITAL LETTER J
0X4B	0XF04B	# LATIN CAPITAL LETTER K
0X4C	0XF04C	# LATIN CAPITAL LETTER L
0X4D	0XF04D	# LATIN CAPITAL LETTER M
0X4E	0XF04E	# LATIN CAPITAL LETTER N
0X4F	0XF04F	# LATIN CAPITAL LETTER O
0X50	0XF050	# LATIN CAPITAL LETTER P
0X51	0XF051	# LATIN CAPITAL LETTER Q
0X52	0XF052	# LATIN CAPITAL LETTER R
0X53	0XF053	# LATIN CAPITAL LETTER S
0X54	0XF054	# LATIN CAPITAL LETTER T
0X55	0XF055	# LATIN CAPITAL LETTER U
0X56	0XF056	# LATIN CAPITAL LETTER V
0X57	0XF057	# LATIN CAPITAL LETTER W
0X58	0XF058	# LATIN CAPITAL LETTER X
0X59	0XF059	# LATIN CAPITAL LETTER Y
0X5A	0XF05A	# LATIN CAPITAL LETTER Z
0X5B	0XF05B	# LEFT SQUARE BRACKET
0X5C	0XF05C	# LATIN SMALL LETTER SCHWA
0X5D	0XF05D	# RIGHT SQUARE BRACKET
0X5E	0XF05E	# EMPTY SET
0X5F	0XF05F	# RIGHTWARDS ARROW
0X60	0XF060	# MODIFIER LETTER GRAVE ACCENT
0X61	0XF061	# LATIN SMALL LETTER A
0X62	0XF062	# LATIN SMALL LETTER B
0X63	0XF063	# LATIN SMALL LETTER C
0X64	0XF064	# LATIN SMALL LETTER D
0X65	0XF065	# LATIN SMALL LETTER E
0X66	0XF066	# LATIN SMALL LETTER F
0X67	0XF067	# LATIN SMALL LETTER G
0X68	0XF068	# LATIN SMALL LETTER H
0X69	0XF069	# LATIN SMALL LETTER I
0X6A	0XF06A	# LATIN SMALL LETTER J
0X6B	0XF06B	# LATIN SMALL LETTER K
0X6C	0XF06C	# LATIN SMALL LETTER L
0X6D	0XF06D	# LATIN SMALL LETTER M
0X6E	0XF06E	# LATIN SMALL LETTER N
0X6F	0XF06F	# LATIN SMALL LETTER O
0X70	0XF070	# LATIN SMALL LETTER P
0X71	0XF071	# LATIN SMALL LETTER Q
0X72	0XF072	# LATIN SMALL LETTER R
0X73	0XF073	# LATIN SMALL LETTER S
0X74	0XF074	# LATIN SMALL LETTER T
0X75	0XF075	# LATIN SMALL LETTER U
0X76	0XF076	# LATIN SMALL LETTER V
0X77	0XF077	# LATIN SMALL LETTER W
0X78	0XF078	# LATIN SMALL LETTER X
0X79	0XF079	# LATIN SMALL LETTER Y
0X7A	0XF07A	# LATIN SMALL LETTER Z
0X7B	0XF07B	# LATIN SMALL LETTER RAMS HORN
0X7C	0XF07C	# LATIN SMALL LETTER SCHWA WITH HOOK
0X7D	0XF07D	# LATIN SMALL LETTER TURNED M
0X7E	0XF07E	# COMBINING TILDE
0X80	0XF080	# LATIN LETTER SMALL CAPITAL L
0X81	0XF081	# LATIN SMALL LETTER TURNED ALPHA
0X82	0XF082	# LATIN SMALL LETTER C WITH CURL
0X83	0XF083	# LATIN SMALL LETTER CLOSED REVERSED OPEN E
0X84	0XF084	# COMBINING TILDE OVERLAY
0X85	0XF085	# LATIN SMALL LETTER TURNED R WITH LONG LEG
0X86	0XF086	# COMBINING SEAGULL BELOW
0X87	0XF087	# LATIN SMALL LETTER TURNED A
0X88	0XF088	# LATIN SMALL LETTER D WITH HOOK
0X89	0XF089	# LATIN LETTER SMALL CAPITAL B
0X8A	0XF08A	# COMBINING RIGHT HALF RING BELOW
0X8B	0XF08B	# COMBINING LEFT HALF RING BELOW
0X8C	0XF08C	# LATIN SMALL LETTER ALPHA
0X8D	0XF08D	# LATIN SMALL LETTER C WITH CEDILLA
0X8E	0XF08E	# NARROW NO-BREAK SPACE
0X8F	0XF08F	# LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
0X90	0XF090	# MODIFIER LETTER RAISED UP ARROW
0X91	0XF091	# LATIN LETTER SMALL CAPITAL R
0X92	0XF092	# COMBINING DOUBLE INVERTED BREVE
0X93	0XF093	# LATIN LETTER DENTAL CLICK
0X94	0XF094	# LATIN SMALL LETTER DOTLESS I
0X95	0XF095	# LATIN SMALL LETTER TURNED R WITH HOOK
0X96	0XF096	# LATIN SMALL LETTER M WITH HOOK
0X97	0XF097	# MODIFIER LETTER SMALL GAMMA
0X98	0XF098	# LATIN LETTER BILABIAL CLICK
0X99	0XF099	# MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
0X9A	0XF09A	# LATIN SMALL LETTER R WITH TAIL
0X9B	0XF09B	# MODIFIER LETTER SMALL TURNED H
0X9C	0XF09C	# MODIFIER LETTER RHOTIC HOOK
0X9D	0XF09D	# LATIN SMALL LETTER G WITH HOOK
0X9E	0XF09E	# LATIN SMALL LETTER REVERSED E
0X9F	0XF09F	# LATIN SMALL LETTER BARRED O
0XA0	0XF0A0	# GREEK SMALL LETTER THETA
0XA1	0XF0A1	# COMBINING BREVE
0XA2	0XF0A2	# COMBINING DOWN TACK BELOW
0XA3	0XF0A3	# COMBINING DIAERESIS BELOW
0XA4	0XF0A4	# COMBINING VERTICAL LINE BELOW
0XA5	0XF0A5	# COMBINING BREVE BELOW
0XA6	0XF0A6	# COMBINING CARON BELOW
0XA7	0XF0A7	# LATIN SMALL LETTER ESH
0XA8	0XF0A8	# LATIN SMALL LETTER TURNED R
0XA9	0XF0A9	# LATIN SMALL LETTER GAMMA
0XAA	0XF0AA	# COMBINING MINUS SIGN BELOW
0XAB	0XF0AB	# LATIN SMALL LETTER OPEN E
0XAC	0XF0AC	# LATIN SMALL LETTER UPSILON
0XAD	0XF0AD	# COMBINING PLUS SIGN BELOW
0XAE	0XF0AE	# LATIN SMALL LETTER L WITH RETROFLEX HOOK
0XAF	0XF0AF	# LATIN SMALL LETTER O WITH STROKE
0XB0	0XF0B0	# COMBINING BRIDGE BELOW
0XB1	0XF0B1	# LATIN SMALL LETTER REVERSED OPEN E
0XB2	0XF0B2	# COMBINING RING BELOW
0XB3	0XF0B3	# COMBINING TILDE BELOW
0XB4	0XF0B4	# LATIN SMALL LETTER TURNED H
0XB5	0XF0B5	# LATIN SMALL LETTER N WITH LEFT HOOK
0XB6	0XF0B6	# LATIN SMALL LETTER ETH
0XB7	0XF0B7	# MODIFIER LETTER SMALL W
0XB8	0XF0B8	# LATIN SMALL LETTER U BAR
0XB9	0XF0B9	# LATIN SMALL LETTER I WITH STROKE
0XBA	0XF0BA	# GREEK SMALL LETTER BETA
0XBB	0XF0BB	# COMBINING INVERTED BREVE BELOW
0XBC	0XF0BC	# LATIN SMALL LETTER TURNED M WITH LONG LEG
0XBD	0XF0BD	# LATIN SMALL LETTER EZH
0XBE	0XF0BE	# LATIN SMALL LETTER AE
0XBF	0XF0BF	# LATIN SMALL LETTER OPEN O
0XC0	0XF0C0	# LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0XC1	0XF0C1	# COMBINING LEFT TACK BELOW
0XC2	0XF0C2	# COMBINING LEFT ANGLE ABOVE
0XC3	0XF0C3	# LATIN SMALL LETTER TURNED V
0XC4	0XF0C4	# LATIN SMALL LETTER PHI
0XC5	0XF0C5	# GREEK SMALL LETTER CHI
0XC6	0XF0C6	# MODIFIER LETTER SMALL J
0XC7	0XF0C7	# MODIFIER LETTER VERTICAL LINE
0XC8	0XF0C8	# MODIFIER LETTER LOW VERTICAL LINE
0XC9	0XF0C9	# MODIFIER LETTER TRIANGULAR COLON
0XCA	0XF0CA	# NO-BREAK SPACE
0XCB	0XF0CB	# LATIN SMALL LETTER D WITH HOOK AND TAIL
0XCD	0XF0CD	# LATIN SMALL LETTER HENG WITH HOOK
0XCE	0XF0CE	# LATIN LETTER SMALL CAPITAL OE
